rank_mi,rank_t,freq,Freq(R),mi,t,collocate
10835,320,29,9,3.6537,4.95727,所以/c
10771,859,10,9,3.7026,2.919385,说出/v
5132,419,19,9,4.7754,4.199739,话题/n
11452,363,26,9,3.4059,4.617957,马/n
10763,627,14,9,3.7159,3.456912,平静/a
11461,761,12,9,3.3962,3.135083,轻轻/d
8487,919,9,9,4.1124,2.826559,激烈/a
8472,598,14,9,4.1422,3.529754,人影/n
5877,358,24,9,4.3348,4.656213,雨/n
11289,977,9,9,3.5048,2.735709,口袋/n
11282,804,11,9,3.5089,3.025271,陷入/v
11000,637,14,9,3.5876,3.430424,某种/r
11062,469,19,9,3.5384,3.983736,周围/f
11523,508,18,9,3.3348,3.822157,对于/p
11462,762,12,9,3.3962,3.135083,引起/v
12830,599,16,9,3.0869,3.529232,见到/v
4980,667,12,9,4.9198,3.34966,下降/v
12739,526,18,9,3.1472,3.763757,别人/r
10790,679,13,9,3.6777,3.323801,令/v
12732,354,28,9,3.1535,4.696831,男人/n
8611,397,21,9,4.0833,4.312234,态度/n
11035,263,37,9,3.567,5.56952,心/n
5590,797,10,9,4.6568,3.036914,冷淡/a
9140,840,10,9,3.9019,2.950726,不由自主/i
10891,687,13,9,3.609,3.310057,大笑/v
9159,720,12,9,3.8754,3.228067,发抖/v
10894,550,16,9,3.6069,3.671702,一座/m
9204,334,27,9,3.8609,4.838524,消息/n
8340,588,14,9,4.2842,3.54962,跳动/vn
10813,439,20,9,3.6568,4.117553,爸爸/n
11322,556,16,9,3.4769,3.64073,思想/n
11486,611,15,9,3.3838,3.501931,三个/m
12868,396,24,9,3.0618,4.312294,高/a
8999,715,12,8,3.9656,3.242372,明亮/a
11001,638,14,8,3.5876,3.430424,恐怖/a
5854,1009,8,8,4.428,2.697026,响动/v
11294,646,14,8,3.4983,3.410558,了解/v
5868,747,11,8,4.402,3.159742,离去/v
11069,883,10,8,3.5275,2.888044,温柔/a
5858,1013,8,8,4.428,2.697026,刹车/n
11507,535,17,8,3.3562,3.720478,怕/v
5896,1019,8,8,4.3348,2.688266,冲着/p
11491,534,17,8,3.3779,3.726488,那位/r
11457,815,11,8,3.402,3.002859,低声/n
5898,1021,8,8,4.3348,2.688266,惨白/z
5892,906,9,8,4.3348,2.851337,毛病/n
5890,904,9,8,4.3348,2.851337,亮光/n
5889,903,9,8,4.3348,2.851337,缩/v
5870,695,12,8,4.3962,3.299592,热/a
12901,511,19,8,3.0129,3.818892,哪里/r
12899,225,48,8,3.0189,6.073471,?/x
5098,982,8,8,4.8754,2.732066,仰起/v
9282,725,12,8,3.7905,3.213762,客厅/n
9298,575,15,8,3.7499,3.585098,这话/r
12854,343,29,8,3.0739,4.745623,今天/t
12832,1181,8,8,3.0869,2.495544,全都/n
5096,980,8,8,4.8754,2.732066,倒地/n
5123,881,9,8,4.8043,2.892632,发亮/v
5130,257,34,8,4.7784,5.618489,脑子里/n
9300,620,14,8,3.7499,3.463534,学生/n
11437,893,10,8,3.4088,2.864538,听说/v
12761,244,43,8,3.1317,5.809297,如果/c
9142,842,10,8,3.9019,2.950726,决心/v
9143,843,10,8,3.9019,2.950726,无比/v
12585,127,87,8,3.1928,8.307322,怎么/r
12441,515,18,8,3.2759,3.804637,意识/n
12426,161,66,8,3.2971,7.297524,地方/n
5833,690,12,8,4.4604,3.306745,光明/n
5808,806,10,8,4.4868,3.021243,前来/t
8653,606,14,8,4.0129,3.509888,通红/z
8644,418,20,8,4.0421,4.200658,口气/n
8645,770,11,8,4.0394,3.114918,喊叫/v
8612,653,13,8,4.0811,3.39252,少女/n
11039,288,33,8,3.5591,5.257175,世界/n
10781,543,16,8,3.691,3.690285,爱情/n
12595,845,11,8,3.1796,2.950565,声响/n
10770,786,11,8,3.7068,3.062624,一颗/m
8465,763,11,8,4.1504,3.129859,喊声/n
8349,816,10,8,4.2645,2.997737,涌/v
10816,863,10,8,3.6568,2.91155,回过/v
10777,956,9,8,3.6974,2.768746,上海/ns
12501,921,10,8,3.2305,2.825362,站住/v
8353,911,9,8,4.2568,2.843077,哭声/n
8352,910,9,8,4.2568,2.843077,昏暗/a
8432,1035,8,8,4.1649,2.670746,发烧/v
10875,492,18,8,3.6221,3.898078,回去/v
25,962,8,8,5.3348,2.758347,亮起/v
9002,563,15,8,3.9563,3.623483,开口/n
9005,835,10,8,3.9563,2.958561,冷静/a
4889,967,8,8,5.1649,2.749586,加重/v
9292,347,26,8,3.7685,4.72486,天空/n
9309,1079,8,8,3.7499,2.618185,推开/v
24,961,8,8,5.3348,2.758347,下起/v
9278,781,11,8,3.7943,3.077565,响声/n
4968,727,11,8,4.9869,3.212036,钻出来/v
4926,867,9,8,5.0453,2.90915,兴起/v
9311,1081,8,8,3.7499,2.618185,抬起头来/l
4972,1120,7,7,4.9723,2.561467,变卦/v
9303,674,13,7,3.7499,3.337544,石头/n
12902,512,19,7,3.0129,3.818892,喝/vg
12890,1058,9,7,3.0453,2.636601,微微/d
9285,673,13,7,3.7874,3.344416,手中/s
10764,675,13,7,3.7134,3.330673,脚下/f
4895,134,71,7,5.127,8.185027,来得/v
28,1107,7,7,5.3348,2.580197,一站/m
27,1106,7,7,5.3348,2.580197,停息/v
26,1105,7,7,5.3348,2.580197,雨来/t
4892,1110,7,7,5.1422,2.570832,亮出/v
4893,1111,7,7,5.1422,2.570832,升高/v
12571,1152,8,7,3.2056,2.521824,光芒/n
12573,206,53,7,3.1986,6.487114,可能/v
5614,994,8,7,4.6344,2.714546,恶心/n
12502,922,10,7,3.2305,2.825362,不得不/d
12448,829,11,7,3.2707,2.972976,般的/u
10842,1092,8,7,3.6344,2.600665,难以/d
10819,866,10,7,3.6568,2.91155,愿望/v
12423,915,10,7,3.2992,2.841032,两只/m
5758,741,11,7,4.5463,3.174683,火光/n
11532,1277,7,7,3.3348,2.383534,剩下/v
10995,521,17,7,3.5894,3.780572,只见/v
10890,383,23,7,3.6105,4.403184,一眼/m
9045,940,9,7,3.9198,2.801782,遭到/v
9206,942,9,7,3.8609,2.793523,地下/s
9163,1065,8,7,3.8754,2.635705,一丝/m
12737,848,11,7,3.1504,2.943094,特别/d
5579,1131,7,7,4.6828,2.542737,抽搐/v
5140,987,8,7,4.7499,2.723306,剧烈地/n
12600,349,28,7,3.1649,4.701513,问题/n
12577,930,10,7,3.1973,2.817527,一口/m
10782,1086,8,7,3.691,2.609425,一齐/d
10784,1088,8,7,3.691,2.609425,加/v
11051,1249,7,7,3.5572,2.420993,指着/v
11014,591,15,7,3.5693,3.546713,或是/c
11016,878,10,7,3.5693,2.895879,大吃一惊/i
11037,743,12,7,3.5623,3.170846,原因/n
10998,635,14,7,3.5876,3.430424,敌人/n
8993,1194,7,7,3.9723,2.477183,凑/v
11295,647,14,7,3.4983,3.410558,身旁/s
11281,803,11,7,3.5089,3.025271,睁/v
11525,821,11,7,3.3348,2.987918,不幸/a
11519,216,49,7,3.3348,6.306237,时/ng
5864,808,10,7,4.4088,3.013408,攻击/v
5855,1010,8,7,4.428,2.697026,丧失/v
5856,1011,8,7,4.428,2.697026,睡梦中/n
5851,1148,7,7,4.4418,2.524007,切断/v
11506,569,16,7,3.3576,3.609759,)/x
11508,484,19,7,3.3539,3.932577,间/f
11278,700,13,7,3.5117,3.289441,外/f
5894,1017,8,7,4.3348,2.688266,惊喜/a
5882,640,13,7,4.3348,3.42688,关上/s
8475,1175,7,7,4.1422,2.495913,兴致/v
11308,887,10,7,3.4868,2.880209,一动不动/l
11432,391,23,7,3.4155,4.346354,儿子/n
8362,1159,7,7,4.2353,2.505278,哇/y
8345,755,11,7,4.2707,3.144801,古怪/a
8346,756,11,7,4.2707,3.144801,掠过/v
8429,1032,8,7,4.1649,2.670746,退/v
8372,438,19,7,4.2252,4.125843,人群/n
11403,243,41,7,3.435,5.811082,然而/c
10775,954,9,7,3.6974,2.768746,响亮/a
10765,676,13,7,3.7134,3.330673,眼里/s
10772,459,19,7,3.7001,4.023526,脑袋/n
9236,114,90,7,3.8437,8.82606,为什么/r
9238,477,18,7,3.8323,3.944798,空中/s
9249,455,19,7,3.8279,4.051947,绝望/v
9250,665,13,7,3.8258,3.351288,冷/a
5118,1124,7,7,4.8203,2.552102,下定决心/l
5122,880,9,7,4.8043,2.892632,光临/v
4983,873,9,7,4.9198,2.900891,失踪/v
12818,186,61,7,3.1057,6.902943,正在/t
12850,559,17,7,3.0825,3.636347,德/ns
12897,567,17,6,3.03,3.618319,终于/d
12895,650,15,6,3.0323,3.399572,而是/c
9318,1222,7,6,3.7499,2.449088,抽/v
9315,1219,7,6,3.7499,2.449088,扎/v
12834,1183,8,6,3.0869,2.495544,低/a
12858,947,10,6,3.0718,2.786186,快乐/a
12748,784,12,6,3.1384,3.07071,耳朵/n
9310,1080,8,6,3.7499,2.618185,现实/n
5887,752,11,6,4.3348,3.152271,奔跑/v
11453,565,16,6,3.4041,3.622147,大/n
11460,760,12,6,3.3962,3.135083,美丽/ns
5873,545,15,6,4.3838,3.687457,歌声/n
11331,984,9,6,3.4604,2.72745,少/a
11430,990,9,6,3.4173,2.719191,转向/v
8347,757,11,6,4.2707,3.144801,进攻/v
11428,409,22,6,3.4192,4.251966,电话/n
8363,1160,7,6,4.2353,2.505278,啪/o
5640,1330,6,6,4.5979,2.348337,变故/n
12570,1151,8,6,3.2056,2.521824,撞/v
11409,1114,8,6,3.428,2.565625,视线/n
5879,549,15,6,4.3348,3.68106,新月/t
12593,429,22,6,3.1796,4.172728,张/q
5886,751,11,6,4.3348,3.152271,耳边/s
5883,698,12,6,4.3348,3.29244,遥远/a
5880,583,14,6,4.3348,3.556242,眼神/n
5888,902,9,6,4.3348,2.851337,猛烈/a
12466,1140,8,6,3.2474,2.530585,放下/v
12464,721,13,6,3.2539,3.227593,椅子/n
11053,969,9,6,3.5506,2.743969,办公室/n
11050,1248,7,6,3.5572,2.420993,大喊/v
5769,1006,8,6,4.5275,2.705786,怒吼/v
5767,1004,8,6,4.5275,2.705786,笑了起来/l
11307,601,15,6,3.4868,3.527521,那时/r
11488,1122,8,6,3.3806,2.556865,安静/nr
11500,898,10,6,3.3714,2.856703,副/b
8474,1174,7,6,4.1422,2.495913,不好意思/a
8476,1176,7,6,4.1422,2.495913,脾气/n
11303,748,12,6,3.4935,3.156541,泪水/n
8479,1179,7,6,4.1422,2.495913,微弱/a
11510,413,22,6,3.3513,4.230836,妻子/n
10889,872,10,6,3.6124,2.903714,妹妹/n
9042,717,12,6,3.9198,3.235219,头顶/n
5615,995,8,6,4.6344,2.714546,凉/v
9004,834,10,6,3.9563,2.958561,出门/v
12509,386,24,6,3.2194,4.372986,姑娘/n
9147,1205,7,6,3.8943,2.467818,河/ns
9156,332,27,6,3.8803,4.843292,心情/n
12574,629,15,6,3.1973,3.450751,上面/f
5141,988,8,6,4.7499,2.723306,变大/v
5097,981,8,6,4.8754,2.732066,战栗/n
12773,1052,9,6,3.1124,2.653119,成为/v
8467,765,11,6,4.1504,3.129859,水面/n
4933,971,8,6,5.0129,2.740826,大风/n
10840,1090,8,6,3.6344,2.600665,两眼/m
10817,864,10,6,3.6568,2.91155,个人/n
12824,1348,7,6,3.0978,2.336709,很大/a
12814,379,25,6,3.1083,4.420213,夫人/n
5582,1134,7,6,4.6828,2.542737,冷清/nr
5581,1133,7,6,4.6828,2.542737,沙哑/n
5589,796,10,6,4.6568,3.036914,查尔斯/nr
5587,476,17,6,4.6674,3.960853,门前/s
9269,505,17,6,3.8076,3.828647,下午/t
9277,780,11,6,3.7943,3.077565,俩/m
5095,979,8,6,4.8754,2.732066,冷笑/nr
12772,1051,9,6,3.1124,2.653119,要求/v
11063,424,21,6,3.5373,4.187877,走到/v
10761,541,16,6,3.7201,3.696479,家伙/n
10760,540,16,6,3.7201,3.696479,内心/n
8651,529,16,6,4.0129,3.752228,永久/d
4970,1118,7,6,4.9723,2.561467,欢呼声/i
5580,1132,7,6,4.6828,2.542737,不作声/n
8616,826,10,6,4.0718,2.974232,使得/v
10999,636,14,6,3.5876,3.430424,呼吸/v
12491,833,11,6,3.2397,2.965506,人家/n
12461,491,19,6,3.2608,3.904156,来说/u
9213,850,10,6,3.8494,2.942891,窗口/s
5577,885,9,6,4.6974,2.884373,更纱/v
9207,454,19,6,3.8548,4.057632,汽车/n
9209,432,20,6,3.8494,4.161876,久/a
5147,1310,6,6,4.7499,2.358452,发红/v
5146,1309,6,6,4.7499,2.358452,倒塌/v
11040,641,14,6,3.5572,3.423802,眼光/n
8637,1191,7,6,4.0547,2.486548,之/f
11529,1127,8,6,3.3348,2.548105,乱/d
12419,822,11,6,3.3024,2.980447,黑/a
5840,1346,6,6,4.4604,2.338222,厉声/d
5866,810,10,6,4.4088,3.013408,事件/n
11015,877,10,6,3.5693,2.895879,其中/r
8617,827,10,6,4.0718,2.974232,小孩子/n
11003,795,11,6,3.5848,3.040212,童霜威/nr
5753,577,14,5,4.5572,3.58273,房门/n
10884,1236,7,5,3.6186,2.430358,弟弟/n
5751,801,10,5,4.5693,3.029078,转动/v
5639,1329,6,5,4.5979,2.348337,减少/v
5895,1018,8,5,4.3348,2.688266,响/zg
5632,1322,6,5,4.5979,2.348337,一跃而起/i
12589,1312,7,5,3.188,2.355439,不由得/d
9316,1220,7,5,3.7499,2.449088,一动/d
9317,1221,7,5,3.7499,2.449088,一脸/m
12766,594,16,5,3.1254,3.541621,出去/v
12762,527,18,5,3.1297,3.757916,要是/c
12771,309,33,5,3.1124,5.080335,!/x
9312,1082,8,5,3.7499,2.618185,摸/v
29,1272,6,5,5.3348,2.388798,不告而别/i
5637,1327,6,5,4.5979,2.348337,停车/v
5893,1016,8,5,4.3348,2.688266,曹青娥/nr
5901,1156,7,5,4.3348,2.514642,体会/n
8357,1025,8,5,4.2474,2.679506,沉闷/a
11399,1265,7,5,3.4418,2.402264,轻松/a
11396,651,14,5,3.4418,3.397314,唱/v
8364,1161,7,5,4.2353,2.505278,冲向/v
12735,732,13,5,3.1526,3.200105,风/n
12745,1335,7,5,3.1422,2.346074,飞/v
8996,1197,7,5,3.9723,2.477183,剧烈/a
8995,1196,7,5,3.9723,2.477183,吼/v
8990,195,52,5,3.98,6.754117,后来/t
