Rank by t,Freq,Freq(L),Freq(R),t值,搭配词
361,24,6,18,4.641040,似地/d
362,30,20,10,4.631297,还有/v
363,26,17,9,4.617957,马/n
364,24,2,22,4.615752,响起/v
365,27,17,10,4.614410,或/c
366,31,13,18,4.606538,不过/c
367,24,14,10,4.565176,毫无/v
368,23,12,11,4.563343,叫声/v
369,24,7,17,4.544945,里面/f
370,25,16,9,4.539143,不到/v
371,23,10,13,4.511679,一口气/i
372,28,24,4,4.504850,准备/v
373,23,6,17,4.501346,脚步声/n
374,24,5,19,4.479196,一块/m
375,23,13,10,4.470348,走进/v
376,25,12,13,4.435079,整个/b
377,33,24,9,4.424735,就是/d
378,23,9,14,4.423850,远处/s
379,25,19,6,4.420213,夫人/n
380,23,21,2,4.418684,正要/a
381,23,22,1,4.418684,直到/v
382,23,7,16,4.408351,激动/a
383,23,16,7,4.403184,一眼/m
384,21,1,20,4.387930,升起/v
385,22,17,5,4.373464,随后/d
386,24,18,6,4.372986,姑娘/n
387,22,10,12,4.368182,外面/f
388,22,18,4,4.362899,音乐/n
389,22,21,1,4.357617,说完/v
390,22,12,10,4.347052,动作/n
391,23,16,7,4.346354,儿子/n
392,25,18,7,4.345881,当时/t
393,22,9,13,4.320639,令人/nrt
394,21,19,2,4.317641,想着/v
395,25,22,3,4.316148,刚/d
396,24,15,9,4.312294,高/a
397,21,12,9,4.312234,态度/n
398,24,12,12,4.307237,那种/r
399,25,12,13,4.306237,两/m
400,21,12,9,4.296013,谈话/vn
401,21,21,0,4.290607,有时候/l
402,22,8,14,4.283661,旁边/f
403,22,12,10,4.283661,好象/n
404,21,4,17,4.274386,吃惊/a
405,24,14,10,4.271833,样子/n
406,21,5,16,4.268979,一头/m
407,29,19,10,4.262517,还是/c
408,26,14,12,4.258375,一些/m
409,22,16,6,4.251966,电话/n
410,21,4,17,4.247352,受/v
411,21,9,12,4.241945,扑/v
412,21,11,10,4.236538,./m
413,22,16,6,4.230836,妻子/n
414,23,11,12,4.222360,如此/c
415,23,20,3,4.222360,这儿/r
416,19,0,19,4.216792,倒下/v
417,25,13,12,4.207128,一起/m
418,20,12,8,4.200658,口气/n
