rank,搭配词,共现频数,全局频率,左侧,右侧,MI值
8226,微笑起来/l,1,2,0,1,4.3348
8227,部长/n,1,2,1,0,4.3348
8228,油脂/n,1,2,1,0,4.3348
8229,污点/n,1,2,1,0,4.3348
8230,阴气/n,1,2,1,0,4.3348
8231,凭空/n,1,2,1,0,4.3348
8232,无意之中/l,1,2,1,0,4.3348
8233,紧锁/vn,1,2,0,1,4.3348
8234,踏/v,1,2,1,0,4.3348
8235,跳水/v,1,2,1,0,4.3348
8236,午餐/n,1,2,1,0,4.3348
8237,料想到/v,1,2,1,0,4.3348
8238,飞奔而去/i,1,2,0,1,4.3348
8239,左一/m,1,2,0,1,4.3348
8240,米哈伊洛夫/nrt,1,2,1,0,4.3348
8241,饿死/v,1,2,1,0,4.3348
8242,绝境/n,1,2,1,0,4.3348
8243,行/n,1,2,1,0,4.3348
8244,炮/n,1,2,1,0,4.3348
8245,华子/nr,1,2,1,0,4.3348
8246,展露/v,1,2,0,1,4.3348
8247,讲出/v,1,2,0,1,4.3348
8248,官兵/n,1,2,0,1,4.3348
8249,比斯/nrt,1,2,0,1,4.3348
8250,德蒙/ns,1,2,0,1,4.3348
8251,那子/nr,1,2,1,0,4.3348
8252,照应/v,1,2,1,0,4.3348
8253,吓醒/v,1,2,0,1,4.3348
8254,傻乎乎/z,1,2,0,1,4.3348
8255,张开嘴巴/nr,1,2,0,1,4.3348
8256,萨尔/nr,1,2,0,1,4.3348
8257,结账/n,1,2,0,1,4.3348
8258,刘氏/nr,1,2,1,0,4.3348
8259,不可开交/i,1,2,1,0,4.3348
8260,一筹莫展/i,1,2,1,0,4.3348
8261,农妇/n,1,2,0,1,4.3348
8262,女声/n,1,2,0,1,4.3348
8263,天井/n,1,2,1,0,4.3348
8264,四处寻找/l,1,2,1,0,4.3348
8265,激越/a,1,2,0,1,4.3348
8266,蛮/d,1,2,0,1,4.3348
8267,一百多/m,1,2,1,0,4.3348
8268,铿锵/o,1,2,0,1,4.3348
8269,呼哧呼哧/o,1,2,0,1,4.3348
8270,疾步/n,1,2,1,0,4.3348
8271,锚/n,1,2,1,0,4.3348
8272,翻书/v,1,2,1,0,4.3348
8273,了心/v,1,2,1,0,4.3348
8274,左顾右盼/i,1,2,1,0,4.3348
8275,电台/n,1,2,0,1,4.3348
8276,晚霞/n,1,2,1,0,4.3348
8277,玛尔梅宗/nrt,1,2,1,0,4.3348
8278,民兵/n,1,2,0,1,4.3348
8279,混杂着/v,1,2,1,0,4.3348
8280,杂音/n,1,2,1,0,4.3348
8281,临海/ns,1,2,1,0,4.3348
8282,另一侧/i,1,2,0,1,4.3348
8283,举步/v,1,2,1,0,4.3348
8284,嘴里塞/n,1,2,1,0,4.3348
8285,警官/n,1,2,1,0,4.3348
8286,掏空/v,1,2,1,0,4.3348
8287,嘶/zg,1,2,0,1,4.3348
8288,正忙着/l,1,2,1,0,4.3348
8289,家务活/n,1,2,1,0,4.3348
8290,坦率地/n,1,2,0,1,4.3348
8291,监察院/n,1,2,0,1,4.3348
8292,去处/v,1,2,0,1,4.3348
8293,国道/n,1,2,0,1,4.3348
8294,⑥/x,1,2,0,1,4.3348
8295,长叹/v,1,2,0,1,4.3348
8296,毛衣/n,1,2,1,0,4.3348
8297,警号/n,1,2,0,1,4.3348
8298,古/n,1,2,0,1,4.3348
8299,土堆/n,1,2,1,0,4.3348
8300,八点半/m,1,2,1,0,4.3348
8301,帆布/n,1,2,1,0,4.3348
8302,杏/n,1,2,1,0,4.3348
8303,amelia/eng,1,2,0,1,4.3348
8304,开始运转/l,1,2,0,1,4.3348
8305,大型/b,1,2,1,0,4.3348
8306,挖洞/n,1,2,1,0,4.3348
8307,累得/v,1,2,1,0,4.3348
8308,积水/n,1,2,0,1,4.3348
8309,破晓/v,1,2,1,0,4.3348
8310,那面/c,1,2,0,1,4.3348
8311,七星岩/nr,1,2,1,0,4.3348
8312,桑山重晴/nr,1,2,0,1,4.3348
8313,静坐/v,1,2,1,0,4.3348
8314,卡莱尔/nr,1,2,0,1,4.3348
8315,孙全贵/nr,1,2,0,1,4.3348
8316,临街/ns,1,2,1,0,4.3348
8317,随从/p,1,2,1,0,4.3348
8318,汤米/nr,1,2,0,1,4.3348
8319,德曼/nrt,1,2,0,1,4.3348
8320,咯嗒/o,1,2,0,1,4.3348
8321,必经/d,1,2,1,0,4.3348
8322,失眠/v,1,2,1,0,4.3348
8323,苏莹/nr,1,2,0,1,4.3348
8324,生闷气/i,1,2,1,0,4.3348
8325,心苑/n,1,2,0,1,4.3348
8326,密密的/z,1,2,0,1,4.3348
8327,小脚/n,1,2,0,1,4.3348
8328,吃光/v,1,2,1,0,4.3348
8329,重视/v,1,2,1,0,4.3348
8330,再版/v,1,2,0,1,4.3348
8331,罗兰/ns,1,2,1,0,4.3348
8332,启用/v,1,2,0,1,4.3348
