rank_mi,rank_t,freq,Freq(L),mi,t,collocate
13285,248,39,18,3.132,5.532619,母亲/n
11834,490,19,18,3.5095,3.976164,几天/m
12894,157,62,18,3.3413,7.097134,手/n
9135,436,20,18,4.1375,4.218034,此时/c
8850,477,18,18,4.2921,4.026083,许久/m
11827,298,31,18,3.517,5.081399,高兴/b
9549,70,131,17,4.0112,10.735734,一种/m
9148,132,67,17,4.1143,7.712737,后面/f
9880,422,21,17,3.7852,4.250179,待/v
5522,73,118,17,4.949,10.511105,之间/f
9827,282,31,17,3.8649,5.18562,那边/r
13361,452,22,17,3.0614,4.128539,出去/v
11503,438,21,17,3.6127,4.20797,或者/c
11795,355,26,17,3.5314,4.658036,房间/n
12916,434,22,17,3.3218,4.221326,这儿/r
9597,442,20,17,3.9642,4.185595,淑华/n
6371,279,30,17,4.3944,5.21678,房门/n
6316,519,16,16,4.5122,3.824707,半晌/m
8877,482,18,16,4.2547,4.020384,几步/m
5405,26,360,16,4.9642,18.365821,听见/v
12958,501,19,16,3.2961,3.915148,气/n
11915,538,17,16,3.4803,3.753667,女士/n
9735,491,18,16,3.9254,3.963396,几句/m
5561,30,290,16,4.8255,16.428812,听到/v
11390,168,55,16,3.6677,6.832623,过来/t
11392,390,23,16,3.6649,4.417717,路上/s
6099,32,284,16,4.6619,16.186591,感到/v
12007,421,22,15,3.4202,4.252255,路/n
9000,324,27,15,4.1478,4.903006,口/q
13238,397,24,15,3.1607,4.351153,走到/v
11348,339,27,15,3.6821,4.791331,黑/a
13277,318,31,15,3.1444,4.938095,接着/c
9876,448,20,15,3.8094,4.153157,沉默/a
9864,387,23,15,3.8276,4.45805,天空/n
9871,591,15,15,3.8176,3.5983,之中/r
11796,489,19,15,3.5306,3.981711,琴/n
9845,366,24,15,3.8466,4.558439,眼/n
9197,220,40,15,4.0482,5.942263,眼泪/n
9814,118,77,15,3.882,8.179804,哭/v
13068,238,40,15,3.2326,5.651721,一切/r
12999,322,30,15,3.2658,4.907777,有些/r
12940,363,26,15,3.3024,4.582168,离开/v
12929,312,31,15,3.3131,5.007575,地上/s
12938,283,33,15,3.306,5.163734,身上/s
12924,480,20,14,3.317,4.023402,姑娘/n
11406,187,51,14,3.6417,6.569256,下来/t
13916,407,24,14,3.0362,4.301799,三/m
13937,308,33,14,3.0051,5.02905,而且/c
11405,561,16,14,3.6422,3.679638,影子/n
6050,216,39,14,4.7729,6.016572,身后/f
12034,425,22,14,3.3701,4.236791,工作/vn
13329,244,40,14,3.0996,5.586731,看到/v
13915,235,42,14,3.0414,5.693544,打/v
13349,472,21,14,3.076,4.039134,打算/v
12986,440,22,14,3.275,4.205862,时间/n
9598,307,29,14,3.9613,5.03945,汽车/n
12915,405,23,14,3.3239,4.316887,回去/v
11529,260,35,14,3.5925,5.425654,声/n
12923,479,20,14,3.317,4.023402,点/m
9599,412,21,14,3.9551,4.287112,心情/n
9725,416,21,14,3.9296,4.281836,头上/s
13280,603,16,14,3.1413,3.546657,月/m
13357,383,26,14,3.0706,4.492075,非常/d
11493,528,17,14,3.6247,3.788852,情况/n
9819,198,46,13,3.8713,6.318894,前面/f
11341,377,24,13,3.6883,4.518956,转身/v
5402,619,13,13,4.9831,3.491552,怎的/r
13365,437,23,13,3.0482,4.216056,晚上/t
5527,622,13,13,4.9007,3.484846,正说/v
11508,458,20,13,3.6046,4.104499,红/a
11357,431,21,13,3.675,4.223798,下面/f
13096,488,20,13,3.2002,3.985557,或/c
13214,638,15,13,3.1896,3.448472,因此/c
11966,122,79,13,3.4499,8.074834,很/zg
12891,473,20,13,3.3522,4.034215,同时/c
