Rank by t,Freq,Freq(L),Freq(R),t值,搭配词
339,27,15,12,4.791331,黑/a
340,29,12,17,4.779042,几个/m
341,32,16,16,4.776378,这种/r
342,27,18,9,4.768066,无/v
343,27,5,22,4.763413,回头/v
344,40,22,18,4.753334,不是/c
345,33,31,2,4.751262,可/v
346,25,3,22,4.738874,不安/a
347,33,13,20,4.730218,拿/v
348,31,4,27,4.707940,原来/d
349,26,11,15,4.705454,丈夫/n
350,24,0,24,4.691694,严肃/a
351,25,1,24,4.685682,抓住/v
352,25,24,1,4.676011,半天/m
353,29,19,10,4.675777,》/x
354,25,8,17,4.666340,害怕/v
355,26,17,9,4.658036,房间/n
356,29,22,7,4.644348,子/ng
357,30,20,10,4.638502,坐在/v
358,31,20,11,4.634116,等/u
359,24,22,2,4.632469,一半/m
360,29,11,18,4.630879,也许/d
361,24,6,18,4.622599,想要/v
362,24,19,5,4.592986,淑英/nrt
363,26,15,11,4.582168,离开/v
364,25,4,21,4.579298,往/zg
365,32,13,19,4.571218,可以/c
366,24,15,9,4.558439,眼/n
367,24,20,4,4.558439,刚刚/d
368,28,8,20,4.551281,《/x
369,22,22,0,4.551235,之际/f
370,26,19,7,4.548976,天/q
371,23,0,23,4.548797,停下/v
372,24,2,22,4.548568,充满/a
373,24,13,11,4.538697,街上/s
374,26,19,7,4.534751,儿/n
375,23,1,22,4.528631,响/zg
376,30,13,17,4.523730,找/v
377,24,13,11,4.518956,转身/v
378,25,23,2,4.506763,准备/v
379,24,12,12,4.499214,身边/s
380,29,20,9,4.496185,见/v
381,22,1,21,4.494532,提起/v
382,25,3,22,4.492256,全/a
383,26,14,12,4.492075,非常/d
384,24,10,14,4.469602,桌子/n
385,23,9,14,4.463091,窗外/s
386,26,20,6,4.458883,样子/n
387,23,15,8,4.458050,天空/n
388,23,12,11,4.432842,电话/n
389,23,11,12,4.417717,目光/n
390,23,16,7,4.417717,路上/s
391,22,2,20,4.406900,闪/v
392,21,21,0,4.392635,当儿/t
393,21,0,21,4.392635,提出/v
394,23,20,3,4.387468,有时/r
395,27,22,5,4.381857,老/a
396,25,11,14,4.381036,家里/s
397,24,15,9,4.351153,走到/v
398,22,3,19,4.345042,有个/r
399,26,13,13,4.340339,那些/r
400,27,21,6,4.339979,快/a
401,22,9,13,4.339887,消失/n
402,21,10,11,4.339873,夜里/t
403,21,5,16,4.334597,厨房/n
404,21,2,19,4.329321,换/v
405,23,14,9,4.316887,回去/v
406,20,20,0,4.304537,不料/n
407,24,14,10,4.301799,三/m
408,24,3,21,4.296864,以/p
409,22,8,14,4.293494,走进/v
410,25,15,10,4.289158,一边/d
411,22,9,13,4.288339,房里/s
412,21,14,7,4.287112,心情/n
413,22,13,9,4.283184,中间/f
414,22,8,14,4.283184,吹/v
415,21,18,3,4.281836,睡着/v
416,21,14,7,4.281836,头上/s
417,22,18,4,4.272875,谈/v
418,21,21,0,4.271284,说完/v
419,26,16,10,4.264471,死/v
420,23,10,13,4.261430,回/v
421,22,15,7,4.252255,路/n
422,21,17,4,4.250179,待/v
