rank,搭配词,共现频数,全局频率,左侧,右侧,MI值
4773,楼梯平台/n,1,1,0,1,5.3701
4774,蛋白/n,1,1,0,1,5.3701
4775,想挂/v,1,1,1,0,5.3701
4776,狂风暴雨/i,1,1,1,0,5.3701
4777,阿达拉/nrt,1,1,0,1,5.3701
4778,家仆/n,1,1,0,1,5.3701
4779,碰碰运气/l,1,1,1,0,5.3701
4780,浮到/v,1,1,1,0,5.3701
4781,奇痛/a,1,1,0,1,5.3701
4782,了下/v,1,1,0,1,5.3701
4783,决战/v,1,1,1,0,5.3701
4784,金军/n,1,1,0,1,5.3701
4785,沉思熟虑/i,1,1,0,1,5.3701
4786,噩兆/n,1,1,1,0,5.3701
4787,轧轧/v,1,1,0,1,5.3701
4788,争论不休/l,1,1,0,1,5.3701
4789,两派/m,1,1,0,1,5.3701
4790,娟的/a,1,1,0,1,5.3701
4791,尸身/n,1,1,1,0,5.3701
4792,东咬西/nr,1,1,1,0,5.3701
4793,手麻/n,1,1,0,1,5.3701
4794,小钟/n,1,1,0,1,5.3701
4795,握成/v,1,1,1,0,5.3701
4796,扑下去/l,1,1,0,1,5.3701
4797,扑身/v,1,1,0,1,5.3701
4798,可供/v,1,1,0,1,5.3701
4799,扑闪/z,1,1,0,1,5.3701
4800,扒开/v,1,1,0,1,5.3701
4801,飞也似/nr,1,1,0,1,5.3701
4802,改读/v,1,1,1,0,5.3701
4803,吉田/ns,1,1,0,1,5.3701
4804,正编/v,1,1,1,0,5.3701
4805,退堂鼓/i,1,1,0,1,5.3701
4806,看直/v,1,1,1,0,5.3701
4807,挤进/v,1,1,0,1,5.3701
4808,胜人/n,1,1,1,0,5.3701
4809,瑴/zg,1,1,1,0,5.3701
4810,呵呵大笑/v,1,1,0,1,5.3701
4811,洛蒂/nrt,1,1,0,1,5.3701
4812,尔德/nrt,1,1,0,1,5.3701
4813,梯门/n,1,1,1,0,5.3701
4814,狠命/d,1,1,0,1,5.3701
4815,体态/n,1,1,1,0,5.3701
4816,巴罗斯/ns,1,1,0,1,5.3701
4817,小表妹/n,1,1,1,0,5.3701
4818,窣/zg,1,1,1,0,5.3701
4819,漂漂亮亮/z,1,1,1,0,5.3701
4820,他杀/vn,1,1,0,1,5.3701
4821,迹象/n,1,1,1,0,5.3701
4822,打退堂鼓/i,1,1,0,1,5.3701
4823,阴渠/nr,1,1,1,0,5.3701
4824,乃至于/c,1,1,1,0,5.3701
4825,扯下来/v,1,1,1,0,5.3701
4826,醇酒妇人/nz,1,1,1,0,5.3701
4827,洋枪/n,1,1,1,0,5.3701
4828,扭过头去/l,1,1,0,1,5.3701
4829,辨/v,1,1,1,0,5.3701
4830,巨手/n,1,1,1,0,5.3701
4831,燕大/nz,1,1,0,1,5.3701
4832,写赠/v,1,1,0,1,5.3701
4833,标记/n,1,1,0,1,5.3701
4834,寻访/v,1,1,0,1,5.3701
4835,政权/n,1,1,1,0,5.3701
4836,火箭/n,1,1,1,0,5.3701
4837,青伤/n,1,1,1,0,5.3701
4838,篓子/n,1,1,1,0,5.3701
4839,一颗颗/n,1,1,0,1,5.3701
4840,洒到/v,1,1,0,1,5.3701
4841,大肆/d,1,1,0,1,5.3701
4842,耶拿桥/ns,1,1,1,0,5.3701
4843,几间/m,1,1,1,0,5.3701
4844,螺旋形/n,1,1,1,0,5.3701
4845,大禹/nz,1,1,1,0,5.3701
4846,家小/j,1,1,0,1,5.3701
4847,包围起来/l,1,1,0,1,5.3701
4848,大为吃惊/i,1,1,1,0,5.3701
4849,右肩/n,1,1,0,1,5.3701
4850,调儿/n,1,1,0,1,5.3701
4851,跷了/n,1,1,0,1,5.3701
4852,钱曾/nr,1,1,1,0,5.3701
4853,小杂种/n,1,1,1,0,5.3701
4854,方方正正/nr,1,1,1,0,5.3701
4855,狐狸/n,1,1,1,0,5.3701
4856,老申/nr,1,1,1,0,5.3701
4857,开嘴/v,1,1,1,0,5.3701
4858,近几年来/l,1,1,1,0,5.3701
4859,帽徽/n,1,1,0,1,5.3701
4860,电影票/n,1,1,0,1,5.3701
4861,抽出去/v,1,1,0,1,5.3701
4862,乌猛猛/nr,1,1,1,0,5.3701
4863,桌面上/n,1,1,0,1,5.3701
4864,七窍生烟/i,1,1,1,0,5.3701
4865,拉弦/nr,1,1,1,0,5.3701
4866,发箭/vn,1,1,1,0,5.3701
4867,提得/v,1,1,0,1,5.3701
4868,侧影/n,1,1,1,0,5.3701
4869,红宝/nz,1,1,1,0,5.3701
4870,芦花/n,1,1,1,0,5.3701
4871,荡子/n,1,1,1,0,5.3701
4872,亮祖/n,1,1,1,0,5.3701
4873,门诊所/n,1,1,1,0,5.3701
4874,髯/ng,1,1,0,1,5.3701
4875,黄公望/nr,1,1,0,1,5.3701
4876,芸的/z,1,1,0,1,5.3701
4877,扒进/v,1,1,1,0,5.3701
4878,饵块/n,1,1,1,0,5.3701
4879,用心听/i,1,1,1,0,5.3701
4880,转开/v,1,1,0,1,5.3701
4881,投向/n,1,1,0,1,5.3701
4882,刹住/v,1,1,0,1,5.3701
4883,咽下去/v,1,1,0,1,5.3701
4884,只早/d,1,1,1,0,5.3701
4885,一丁点儿/m,1,1,1,0,5.3701
4886,话题一转/i,1,1,0,1,5.3701
4887,精卫填海/n,1,1,1,0,5.3701
4888,陈咏明/nrfg,1,1,1,0,5.3701
4889,马路边/nr,1,1,0,1,5.3701
4890,法政/n,1,1,0,1,5.3701
4891,达见/v,1,1,1,0,5.3701
4892,那管/c,1,1,1,0,5.3701
4893,鼓鼓的/z,1,1,0,1,5.3701
4894,前言不搭后语/i,1,1,1,0,5.3701
4895,暖暖的/z,1,1,0,1,5.3701
4896,喉部/n,1,1,0,1,5.3701
4897,朴钟/nr,1,1,1,0,5.3701
4898,招数/n,1,1,0,1,5.3701
4899,茉迪/n,1,1,1,0,5.3701
4900,球儿/n,1,1,0,1,5.3701
4901,抓过/v,1,1,0,1,5.3701
4902,膝弯/n,1,1,1,0,5.3701
4903,折转/v,1,1,0,1,5.3701
4904,市镇/n,1,1,0,1,5.3701
4905,细声细气/n,1,1,1,0,5.3701
4906,缟素/n,1,1,0,1,5.3701
4907,手指甲/n,1,1,1,0,5.3701
4908,赌客/n,1,1,1,0,5.3701
4909,楞了/n,1,1,1,0,5.3701
4910,大半天/t,1,1,1,0,5.3701
4911,编制/v,1,1,1,0,5.3701
4912,暮色苍茫/l,1,1,0,1,5.3701
4913,左肩/nr,1,1,0,1,5.3701
4914,要面子/n,1,1,1,0,5.3701
4915,密布/v,1,1,1,0,5.3701
4916,芸儿/n,1,1,1,0,5.3701
4917,向叔惠/nr,1,1,0,1,5.3701
4918,病痛/n,1,1,1,0,5.3701
4919,咂咂嘴/n,1,1,0,1,5.3701
4920,三分钟/mq,1,1,1,0,5.3701
4921,做买卖/n,1,1,1,0,5.3701
4922,张若兰/nr,1,1,1,0,5.3701
4923,象晓/v,1,1,0,1,5.3701
4924,柯连/nr,1,1,1,0,5.3701
4925,愁惨/a,1,1,1,0,5.3701
4926,所奏/n,1,1,1,0,5.3701
4927,戏谑/v,1,1,0,1,5.3701
4928,抱不平/i,1,1,0,1,5.3701
4929,信函/n,1,1,0,1,5.3701
4930,小把戏/n,1,1,1,0,5.3701
4931,历克塞/nr,1,1,1,0,5.3701
4932,恩娟/nrt,1,1,1,0,5.3701
4933,瞒跚/v,1,1,0,1,5.3701
4934,田家/nrfg,1,1,1,0,5.3701
4935,担起/v,1,1,0,1,5.3701
4936,赫尔利/nr,1,1,1,0,5.3701
4937,拉下/v,1,1,0,1,5.3701
4938,居中/v,1,1,0,1,5.3701
4939,王秋萍/nr,1,1,1,0,5.3701
4940,王来喜/nr,1,1,1,0,5.3701
4941,马政/n,1,1,0,1,5.3701
4942,便秘/a,1,1,1,0,5.3701
4943,先/n,1,1,1,0,5.3701
4944,芦地/n,1,1,1,0,5.3701
4945,愚民/n,1,1,1,0,5.3701
4946,拉扯/v,1,1,0,1,5.3701
4947,莎士比亚/ns,1,1,0,1,5.3701
4948,队员/n,1,1,1,0,5.3701
4949,陈敏秀/nr,1,1,1,0,5.3701
4950,梗住/v,1,1,0,1,5.3701
4951,漏进/v,1,1,0,1,5.3701
4952,政局/n,1,1,1,0,5.3701
4953,世纪末/t,1,1,1,0,5.3701
4954,周期/t,1,1,1,0,5.3701
4955,高登/nr,1,1,1,0,5.3701
4956,打蛇蝇/i,1,1,1,0,5.3701
4957,强扭的瓜不甜/l,1,1,1,0,5.3701
4958,拍起/v,1,1,0,1,5.3701
4959,十余丈/m,1,1,1,0,5.3701
4960,硬把子/l,1,1,0,1,5.3701
4961,席棚子/nr,1,1,0,1,5.3701
4962,用品商店/n,1,1,0,1,5.3701
4963,兴味索然/i,1,1,1,0,5.3701
4964,拔开/v,1,1,0,1,5.3701
4965,拚够/v,1,1,0,1,5.3701
4966,对子/n,1,1,0,1,5.3701
4967,北帮/j,1,1,0,1,5.3701
4968,正信/nz,1,1,1,0,5.3701
4969,洗心革面/n,1,1,0,1,5.3701
4970,超常/b,1,1,0,1,5.3701
4971,感受力/n,1,1,0,1,5.3701
4972,拥来/v,1,1,0,1,5.3701
4973,红领巾/nr,1,1,0,1,5.3701
4974,拥进来/v,1,1,0,1,5.3701
4975,伸懒腰/v,1,1,1,0,5.3701
4976,顶住/v,1,1,0,1,5.3701
4977,纺绸/n,1,1,0,1,5.3701
4978,狱长/n,1,1,1,0,5.3701
4979,药包/n,1,1,0,1,5.3701
4980,介意/v,1,1,1,0,5.3701
4981,发痴/v,1,1,1,0,5.3701
4982,话机/n,1,1,0,1,5.3701
4983,挂下/v,1,1,0,1,5.3701
4984,挂号处/n,1,1,0,1,5.3701
4985,几盏/m,1,1,0,1,5.3701
4986,红灯笼/n,1,1,0,1,5.3701
4987,波卢/ns,1,1,1,0,5.3701
4988,特金/n,1,1,1,0,5.3701
4989,患感冒/n,1,1,1,0,5.3701
4990,盛满/v,1,1,0,1,5.3701
4991,酒瓶子/n,1,1,1,0,5.3701
4992,君柔/ns,1,1,1,0,5.3701
4993,课文/n,1,1,1,0,5.3701
4994,四十左右/m,1,1,1,0,5.3701
4995,救世/v,1,1,0,1,5.3701
4996,先行/n,1,1,0,1,5.3701
4997,深邃/a,1,1,1,0,5.3701
4998,毛驴/nr,1,1,1,0,5.3701
4999,方面大耳/n,1,1,0,1,5.3701
5000,跑来/v,1,1,1,0,5.3701
5001,报童/n,1,1,1,0,5.3701
5002,对号入座/n,1,1,1,0,5.3701
5003,挪步/v,1,1,0,1,5.3701
5004,挪身/v,1,1,0,1,5.3701
5005,税官/n,1,1,1,0,5.3701
5006,三寸/m,1,1,0,1,5.3701
5007,登登/nrt,1,1,0,1,5.3701
5008,没大/v,1,1,1,0,5.3701
5009,彭刚/nr,1,1,1,0,5.3701
5010,振起/v,1,1,0,1,5.3701
5011,更直/d,1,1,0,1,5.3701
5012,瓦夏/nr,1,1,1,0,5.3701
5013,遵命/nz,1,1,1,0,5.3701
5014,救命稻草/l,1,1,0,1,5.3701
5015,爱俏/a,1,1,1,0,5.3701
5016,可如/v,1,1,1,0,5.3701
5017,叫屈/v,1,1,0,1,5.3701
5018,簇新/v,1,1,0,1,5.3701
5019,著/v,1,1,0,1,5.3701
5020,掀动/v,1,1,0,1,5.3701
5021,掀倒/v,1,1,0,1,5.3701
5022,掀天/v,1,1,0,1,5.3701
5023,黄英/nr,1,1,1,0,5.3701
5024,海性/n,1,1,0,1,5.3701
5025,屋梁/n,1,1,1,0,5.3701
5026,整篇/b,1,1,1,0,5.3701
5027,群鸦/n,1,1,0,1,5.3701
5028,坦克部队/n,1,1,1,0,5.3701
5029,听剑云/nr,1,1,1,0,5.3701
5030,含含糊糊/z,1,1,1,0,5.3701
5031,问琴/n,1,1,0,1,5.3701
5032,问觉/n,1,1,0,1,5.3701
5033,新道/n,1,1,0,1,5.3701
5034,全聚德/nr,1,1,1,0,5.3701
5035,冰窟窿/n,1,1,0,1,5.3701
5036,直望/v,1,1,1,0,5.3701
5037,掩起/v,1,1,1,0,5.3701
5038,霍丹斯/nr,1,1,1,0,5.3701
5039,接回来/l,1,1,1,0,5.3701
5040,岔息/n,1,1,0,1,5.3701
5041,分拨/v,1,1,1,0,5.3701
5042,刚定/d,1,1,1,0,5.3701
5043,报来/v,1,1,0,1,5.3701
5044,掣/v,1,1,0,1,5.3701
5045,接住/v,1,1,0,1,5.3701
5046,亲启/v,1,1,0,1,5.3701
5047,任教/n,1,1,1,0,5.3701
5048,时隔不久/l,1,1,1,0,5.3701
5049,前两天/i,1,1,1,0,5.3701
5050,李缄/nr,1,1,0,1,5.3701
5051,拼好/d,1,1,1,0,5.3701
5052,童时/t,1,1,0,1,5.3701
5053,雍/nr,1,1,0,1,5.3701
